subject,link,goal
normal,demi,acier
combat,deux,normal
combat,demi,vol
combat,deux,roche
combat,deux,acier
combat,demi,psy
combat,deux,glace
combat,deux,tenebre
combat,demi,fee
combat,demi,lumiere
vol,deux,combat
vol,demi,roche
vol,deux,insecte
vol,demi,acier
vol,deux,plante
vol,demi,electrique
poison,demi,poison
poison,demi,sol
poison,demi,roche
poison,demi,spectre
poison,zero,acier
poison,deux,plante
poison,deux,fee
sol,zero,vol
sol,deux,poison
sol,deux,roche
sol,demi,insecte
sol,deux,acier
sol,deux,feu
sol,deux,electrique
sol,deux,lumiere
sol,demi,plante
roche,demi,combat
roche,demi,sol
roche,demi,acier
roche,deux,vol
roche,deux,feu
roche,deux,glace
spectre,zero,normal
spectre,zero,lumiere
spectre,deux,spectre
spectre,deux,psy
spectre,demi,tenebre
acier,deux,roche
acier,deux,glace
acier,deux,fee
acier,deux,lumiere
acier,demi,acier
acier,demi,feu
acier,demi,eau
acier,demi,electrique
feu,demi,roche
feu,demi,feu
feu,demi,eau
feu,demi,dragon
feu,demi,lumiere
feu,deux,insecte
feu,deux,acier
feu,deux,plante
feu,deux,glace
eau,deux,sol
eau,deux,roche
eau,demi,eau
eau,demi,plante
eau,demi,dragon
plante,demi,vol
plante,demi,poison
electrique,deux,vol
electrique,deux,eau
electrique,demi,plante
electrique,demi,electrique
electrique,demi,dragon
electrique,demi,lumiere
electrique,zero,sol
psy,deux,combat
psy,deux,poison
psy,demi,acier
psy,demi,psy
psy,zero,tenebre
glace,deux,vol
glace,deux,sol
glace,deux,plante
glace,deux,dragon
glace,demi,acier
glace,demi,feu
glace,demi,eau
glace,demi,glace
glace,demi,lumiere
dragon,demi,acier
dragon,deux,dragon
dragon,zero,fee
tenebre,demi,combat
tenebre,demi,tenebre
tenebre,demi,fee
tenebre,deux,spectre
tenebre,deux,psy
tenebre,zero,lumiere
fee,deux,combat
fee,deux,dragon
fee,deux,tenebre
fee,demi,poison
fee,demi,acier
fee,demi,feu
lumiere,demi,sol
lumiere,demi,acier
lumiere,demi,feu
lumiere,demi,plante
lumiere,demi,electrique
lumiere,demi,lumiere
lumiere,deux,insecte
lumiere,deux,spectre
lumiere,deux,glace
lumiere,deux,tenebre
eau,deux,feu
normal,zero,spectre
combat,demi,insecte
roche,deux,insecte
insecte,demi,acier
insecte,demi,combat
insecte,demi,fee
insecte,demi,lumiere
insecte,demi,spectre
insecte,demi,vol
insecte,deux,plante
insecte,deux,psy
insecte,deux,tenebre
normal,demi,roche
acier,effet,acier
acier,effet,eau
acier,effet,electrique
acier,effet,fee
acier,effet,feu
acier,effet,glace
acier,effet,lumiere
acier,effet,roche
combat,effet,acier
combat,effet,fee
combat,effet,glace
combat,effet,insecte
combat,effet,lumiere
combat,effet,normal
combat,effet,psy
combat,effet,roche
combat,effet,tenebre
combat,effet,vol
dragon,effet,acier
dragon,effet,dragon
eau,effet,dragon
eau,effet,eau
eau,effet,feu
eau,effet,plante
eau,effet,roche
eau,effet,sol
electrique,effet,dragon
electrique,effet,eau
electrique,effet,electrique
electrique,effet,lumiere
electrique,effet,plante
electrique,effet,vol
fee,effet,acier
fee,effet,combat
fee,effet,dragon
fee,effet,feu
fee,effet,poison
fee,effet,tenebre
feu,effet,acier
feu,effet,dragon
feu,effet,eau
feu,effet,feu
feu,effet,glace
feu,effet,insecte
feu,effet,lumiere
feu,effet,plante
feu,effet,roche
glace,effet,acier
glace,effet,dragon
glace,effet,eau
glace,effet,feu
glace,effet,glace
glace,effet,lumiere
glace,effet,plante
glace,effet,sol
glace,effet,vol
insecte,effet,acier
insecte,effet,combat
insecte,effet,fee
insecte,effet,lumiere
insecte,effet,plante
insecte,effet,psy
insecte,effet,spectre
insecte,effet,tenebre
insecte,effet,vol
lumiere,effet,acier
lumiere,effet,electrique
lumiere,effet,feu
lumiere,effet,glace
lumiere,effet,insecte
lumiere,effet,lumiere
lumiere,effet,plante
lumiere,effet,sol
lumiere,effet,spectre
lumiere,effet,tenebre
normal,effet,acier
normal,effet,roche
plante,effet,poison
plante,effet,vol
poison,effet,fee
poison,effet,plante
poison,effet,poison
poison,effet,roche
poison,effet,sol
poison,effet,spectre
psy,effet,acier
psy,effet,combat
psy,effet,poison
psy,effet,psy
roche,effet,acier
roche,effet,combat
roche,effet,feu
roche,effet,glace
roche,effet,insecte
roche,effet,sol
roche,effet,vol
sol,effet,acier
sol,effet,electrique
sol,effet,feu
sol,effet,insecte
sol,effet,lumiere
sol,effet,plante
sol,effet,poison
sol,effet,roche
spectre,effet,psy
spectre,effet,spectre
spectre,effet,tenebre
tenebre,effet,combat
tenebre,effet,fee
tenebre,effet,psy
tenebre,effet,spectre
tenebre,effet,tenebre
vol,effet,acier
vol,effet,combat
vol,effet,electrique
vol,effet,insecte
vol,effet,plante
vol,effet,roche
