subject,link,goal
emy,est,personnage
francois,est,personnage
hyun,est,personnage
emy,est,mc
emy,dans,groupePrincipal
francois,est,mc
francois,dans,groupePrincipal
tiago,est,personnage
tiago,dans,groupePrincipal
hyun,dans,groupePrincipal
lenora,dans,groupePrincipal
groupePrincipal,est,groupe
mutant,et,groupe
rachel,est,mutant
leon,est,mutant
leon,est,artificiel
mutant,est,groupe
rachel,est,naturel
leon,est,personnage
rachel,genre,femme
rachel,est,personnage
francois,genre,homme
orphelinat,est,periode
accueil,est,arc
quartier,est,arc
huugo,est,personnage
huugo,est,mutant
directeur,est,personnage
filsDirecteur,est,personnage
directeur,pere,filsDirecteur
directeur,parent,filsDirecteur
liberty,est,personnage
jordan,fs,liberty
liberty,fs,liberty
liberty,fs,jordan
jordan,fs,jordan
karah,fs,jordan
jordan,fs,karah
liberty,fs,karah
karah,fs,karah
karah,fs,liberty
francois,ami,emy
emy,ami,francois
emy,ami,hyun
hyun,ami,emy
hyun,ami,francois
francois,ami,hyun
tiago,ami,hyun
hyun,ami,tiago
tiago,ami,emy
emy,ami,tiago
tiago,ami,francois
francois,ami,tiago
emy,ami,liberty
liberty,ami,emy
emy,origine,cameroune
francois,origine,france
francois,origine,japon
hyun,origine,coree
tiago,origine,portugal
leon,origine,russie
chefWingForce,est,personnage
rachel,origine,belge
arthur,est,personnage
karah,est,personnage
jordan,est,personnage
zhuan,est,personnage
huugo,est,naturel
huugo,pouvoir,lireLesPensees
jordan,est,mutant
jordan,est,naturel
jordan,pouvoir,copieMotrice
huugo,origine,finland
valentino,est,personnage
valentino,origine,italie
valentino,detail,copainDeLiberty
alfred,est,personnage
alfred,servantDe,arthur
eleanor,est,personnage
eleanor,detail,vengence
rebel,est,groupe
rachel,dans,rebel
leon,dans,rebel
hugo,dans,rebel
policierFemme,est,personnage
policierHomme,est,personnage
zhuan,detail,chefDesRevolutionnaires
zhuan,dans,rebel
hugo,est,mutant
profHomme,est,personnage
profFemme,est,personnage
profPlusJeune,est,personnage
ecole,est,groupe
lenora,est,personnage
policierFemme,dans,policier
policierHomme,dans,policier
bourgeoisie,est,groupe
arthur,dans,bourgeoisie
rachel,dans,mutant
leon,dans,mutant
huugo,dans,mutant
jordan,dans,mutant
hugo,dans,mutant
alfred,dans,bourgeoisie
policierHomme,dans,police
police,est,groupe
policierFemme,dans,police
wingForce,est,groupe
chefWingForce,dans,wingForce
