subject,link,goal
emy,est,personnage
francois,est,personnage
hyun,est,personnage
emy,est,mc
emy,dans,groupePrincipal
francois,est,mc
francois,dans,groupePrincipal
tiago,est,personnage
tiago,dans,groupePrincipal
hyun,dans,groupePrincipal
lenora,dans,groupePrincipal
groupePrincipal,est,groupe
mutant,et,groupe
rachel,est,mutant
leon,est,mutant
leon,est,artificiel
mutant,est,groupe
rachel,est,naturel
leon,est,personnage
rachel,genre,femme
rachel,est,personnage
francois,genre,homme
huugo,est,personnage
huugo,est,mutant
directeur,est,personnage
filsDirecteur,est,personnage
directeur,pere,filsDirecteur
directeur,parent,filsDirecteur
liberty,est,personnage
jordan,fs,liberty
liberty,fs,liberty
liberty,fs,jordan
jordan,fs,jordan
karah,fs,jordan
jordan,fs,karah
liberty,fs,karah
karah,fs,karah
karah,fs,liberty
francois,ami,emy
emy,ami,francois
emy,ami,hyun
hyun,ami,emy
hyun,ami,francois
francois,ami,hyun
tiago,ami,hyun
hyun,ami,tiago
tiago,ami,emy
emy,ami,tiago
tiago,ami,francois
francois,ami,tiago
emy,ami,liberty
liberty,ami,emy
emy,origine,cameroune
francois,origine,france
francois,origine,japon
hyun,origine,coree
tiago,origine,portugal
leon,origine,russie
chefWingForce,est,personnage
rachel,origine,belge
arthur,est,personnage
karah,est,personnage
jordan,est,personnage
zhuan,est,personnage
huugo,est,naturel
huugo,pouvoir,lireLesPensees
jordan,est,mutant
jordan,est,naturel
jordan,pouvoir,copieMotrice
huugo,origine,finland
valentino,est,personnage
valentino,origine,italie
valentino,detail,copainDeLiberty
alfred,est,personnage
alfred,servantDe,arthur
eleanor,est,personnage
eleanor,detail,vengence
rebel,est,groupe
rachel,dans,rebel
leon,dans,rebel
hugo,dans,rebel
policierFemme,est,personnage
policierHomme,est,personnage
zhuan,detail,chefDesRevolutionnaires
zhuan,dans,rebel
hugo,est,mutant
profHomme,est,personnage
profFemme,est,personnage
profPlusJeune,est,personnage
ecole,est,groupe
lenora,est,personnage
policierFemme,dans,policier
policierHomme,dans,policier
bourgeoisie,est,groupe
arthur,dans,bourgeoisie
rachel,dans,mutant
leon,dans,mutant
huugo,dans,mutant
jordan,dans,mutant
hugo,dans,mutant
alfred,dans,bourgeoisie
policierHomme,dans,police
police,est,groupe
policierFemme,dans,police
wingForce,est,groupe
chefWingForce,dans,wingForce
profPhilo,est,personnage
eleanor,theme,vengance
vieuxPretre,est,personnage
vieuxPretre,theme,foi
mercenaire,est,groupe
noblesse,est,groupe
tragedie,est,evenement
grandeGuerre,est,event
ageDesMutants,est,event
attaqueDeLAmbassade,est,event
renversementDeLaMonarchie,est,event
explorationDuGetho,est,event
explorationDuGetho,avant,ageDesMutants
orphelinat,avant,ageDesMutants
ageDesMutants,apres,orphelinat
orphelinat,est,evenement
ageDesMutants,est,evenement
ageDesMutants,apres,explorationDuGetho
explorationDuGetho,est,evenement
ageDesMutants,precede,attaqueDeLAmbassade
ageDesMutants,avant,attaqueDeLAmbassade
explorationDuGetho,avant,attaqueDeLAmbassade
attaqueDeLAmbassade,precede,renversementDeLaMonarchie
attaqueDeLAmbassade,avant,renversementDeLaMonarchie
ageDesMutants,avant,renversementDeLaMonarchie
explorationDuGetho,avant,renversementDeLaMonarchie
nouvelleConquete,est,event
renversementDeLaMonarchie,precede,nouvelleConquete
renversementDeLaMonarchie,avant,nouvelleConquete
attaqueDeLAmbassade,avant,nouvelleConquete
ageDesMutants,avant,nouvelleConquete
explorationDuGetho,avant,nouvelleConquete
orphelinat,avant,attaqueDeLAmbassade
orphelinat,avant,renversementDeLaMonarchie
orphelinat,avant,nouvelleConquete
orphelinat,precede,explorationDuGetho
orphelinat,avant,explorationDuGetho
grandeGuerre,precede,orphelinat
grandeGuerre,avant,orphelinat
grandeGuerre,avant,ageDesMutants
grandeGuerre,avant,attaqueDeLAmbassade
grandeGuerre,avant,explorationDuGetho
grandeGuerre,avant,nouvelleConquete
grandeGuerre,avant,renversementDeLaMonarchie
explorationDuGetho,theme,feminicide
explorationDuGetho,theme,handicape
grandeGuerre,theme,enfantSoldat
explorationDuGetho,theme,ennuie
explorationDuGetho,theme,traffic
explorationDuGetho,theme,foi
explorationDuGetho,theme,desertMedical
ecole,est,event
ecole,precede,ageDesMutants
ecole,avant,ageDesMutants
ecole,avant,attaqueDeLAmbassade
ecole,avant,nouvelleConquete
ecole,avant,renversementDeLaMonarchie
orphelinat,avant,ecole
grandeGuerre,avant,ecole
explorationDuGetho,precede,ecole
explorationDuGetho,avant,ecole
orphelina,est,event
heritage,est,event
heritage,precede,orphelinat
heritage,avant,orphelinat
heritage,avant,ageDesMutants
heritage,avant,attaqueDeLAmbassade
heritage,avant,ecole
heritage,avant,explorationDuGetho
heritage,avant,nouvelleConquete
heritage,avant,renversementDeLaMonarchie
grandeGuerre,precede,heritage
grandeGuerre,avant,heritage
avantGuerre,est,event
leon,background,enfantSoldat
francois,taille,um_metre_quatre_vingt
francois,taille,um metre quatre vingt
