subject,link,goal
emy,est,personnage
francois,est,personnage
hyun,est,personnage
emy,est,mc
emy,dans,groupePrincipal
francois,est,mc
francois,dans,groupePrincipal
tiago,est,personnage
tiago,dans,groupePrincipal
hyun,dans,groupePrincipal
lenora,dans,groupePrincipal
groupePrincipal,est,groupe
mutant,et,groupe
rachel,est,mutant
leon,est,mutant
leon,est,artificiel
mutant,est,groupe
rachel,est,naturel
leon,est,personnage
rachel,genre,femme
rachel,est,personnage
francois,genre,homme
