,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,,,,,,,,,
7.00,,,,,,,,7.00,,,,,,,,,
8.00,#bachelor,#DM,IA cours,PA,,,,8.00,,,,,,,,,
9.00,#bachelor,#DM,#TI_ex,CI,,prep,prep,9.00,,,,,,,,,
10.00,Courses,#DM_ex,#TI_ex,#IN,#TI,prep,prep,10.00,,,,,,,,,
11.00,Courses,#DM_ex,TP IA,#IN,#TI,prep,p+dep,11.00,,,,,,,,,
12.00,,,,,#IN_ex,manger,#Culte,12.00,,,,,,,,,
13.00,#bachelor,Site,Site,#révisions,#IN_ex,prep,#Culte,13.00,,,,,,,,,
14.00,#bachelor,Projet info,#bachelor,#révisions,#PI_ex,prep,#Culte,14.00,,,,,,,,,
15.00,Projet Bachelor,Projet Bachelor,#bachelor,#révisions,#PI_ex,#Siloé,#Culte,15.00,,,,,,,,,
16.00,STB,#POO,#instruments,#révisions,#PI,#Siloé,ret,16.00,,,,,,,,,
17.00,Satom,#POO,#instruments,#révisions,#PI,#Siloé,manger,17.00,,,,,,,,,
18.00,TP IA,#bachelor,TP IA,#révisions,TP IA,Prière,appuie,18.00,,,,,,,,,
19.00,Révision,#bachelor,#Culte,#révisions,Révision,Prière,prep,19.00,,,,,,,,,
20.00,Site,Site,#Culte,#révisions,Site,Manger,prep,20.00,,,,,,,,,
21.00,révision,révision,#Culte,révision,révision,Prep,prep,21.00,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
