,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,,,,,,,,
7.00,,,,,,,,7.00,,,,,,,,
8.00,GL,GL exo,IA cours,PA,,,,8.00,,,,,,,,
9.00,IN,GL exo,IA cours,CI,,Uni,prep,9.00,,,,,,,,
10.00,Courses,Satom,Satom,Satom,Satom,Eglise,GL,10.00,,,,,,,,
11.00,Courses,TP IA,TP IA,TP IA,TP IA,Projet,IN,11.00,,,,,,,,
12.00,,,,,,Pause,PA,12.00,,,,,,,,
13.00,Site,Site,Site,Site,Site,Uni,CI,13.00,,,,,,,,
14.00,Projet info,Projet info,Projet info,Projet info,Projet info,Uni,MEP,14.00,,,,,,,,
15.00,Projet Bachelor,Projet Bachelor,Projet Bachelor,Projet Bachelor,Projet Bachelor,Uni,MEP,15.00,,,,,,,,
16.00,STB,STB,STB,STB,STB,Eglise,GL,16.00,,,,,,,,
17.00,Satom,Satom,Satom,Satom,Satom,Projet,IN,17.00,,,,,,,,
18.00,TP IA,TP IA,TP IA,TP IA,TP IA,appuie,PA,18.00,,,,,,,,
19.00,Révision,Révision,Révision,Révision,Révision,Manger,CI,19.00,,,,,,,,
20.00,Site,Site,Site,Site,Site,Projet,rev,20.00,,,,,,,,
21.00,révision,révision,révision,révision,révision,Bilan,revision,21.00,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Rangement,,Satom,1.00,,,,,,,,,,,,
,Ménage,,TP IA,2.00,,,,,,,,,,,,
,Méditation,,Révision,1.00,,,,,,,,,,,,
,Tuto,,Site,1.00,,,,,,,,,,,,
,Cadeaux,,Projet info,1.00,L,,,,,,,,,,,
,Activite,,Projet Bachelor,1.00,L,,,,,,,,,,,
,Histoire,,STB,,,,,,,,,,,,,
,Compo,,,,,,,,,,,,,,,
