,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,,,,,
7.00,,,,,,,,7.00,,,,
8.00,,GL exo,IA cours,,,,,8.00,,,,
9.00,,GL exo,IA cours,,,,,9.00,,,,
10.00,CI cours,SC cours ,Para exo,Para cours,IN cours,,,10.00,,,,
11.00,CI cours,SC cours ,Para exo,Para cours,IN cours,,,11.00,,,,
12.00,,,Para exo,,,,,12.00,,,,
13.00,,,,RI exo,IN exo,,,13.00,,,,
14.00,RI cours,,SC exo ,RI exo,IN exo,,,14.00,,,,
15.00,RI cours,,SC exo ,IA exo,GL cours,,,15.00,,,,
16.00,CI exo,,IA exo,IA exo,GL cours,,,16.00,,,,
17.00,CI exo,,IA exo,,,,,17.00,,,,
18.00,,,,,,,,18.00,,,,
19.00,,,,,,,,19.00,,,,
20.00,,,,,,,,20.00,,,,
21.00,,,,,,,,21.00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Requirement,,Organisation,,,,,,,,,
,Satom,,activite,,,,,,,,,
,Ménage,,,,,,,,,,,
,Révision,,,,,,,,,,,
,Organisation,,,,,,,,,,,
,,,,,,,,,,,,
